,userCode,userFileName,experimentName,sourceurl,response1,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
0,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,,,,,,,,,,EIV,Mon+Oct+10+2016+19%3A47%3A02+GMT-0400+(EDT),,none
1,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),gop,3,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+19%3A47%3A02+GMT-0400+(EDT),,
2,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),dak,4,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+19%3A47%3A02+GMT-0400+(EDT),,
3,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),fitash,5,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+19%3A47%3A03+GMT-0400+(EDT),,
4,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),rezik,6,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+19%3A47%3A03+GMT-0400+(EDT),,
5,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),dog,7,undefined,stimulus.ejs,,,,,EIV,Mon+Oct+10+2016+19%3A47%3A04+GMT-0400+(EDT),,
6,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),tut,9,fox,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+19%3A47%3A07+GMT-0400+(EDT),,
7,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),disab,10,fan,ro,2,no,no,none,EIV,Mon+Oct+10+2016+19%3A47%3A07+GMT-0400+(EDT),,
8,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),bosov,11,necklace,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+19%3A47%3A08+GMT-0400+(EDT),,
9,LRU686,686,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue-(undefined),fut,12,pigeon,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+19%3A47%3A08+GMT-0400+(EDT),,
